|tweet_id|begin|end|type|extraction|drug|tweet|meddra_code|meddra_term|prediction_extractions
0|332317478170546176|28.0|37.0|ADR|allergies|avelox|"do you have any medication allergies? ""asthma!!!"" me: ""........"" pt: ""no wait. avelox, that's it!"" ""so no other allergies?"" ""right!"" *cont"|10013661.0|drug allergy|[]
1|347806215776116737|31.0|46.0|ADR|HURT YOUR Liver|avelox|@ashleylvivian if #avelox has hurt your liver, avoid tylenol always, as it further damages liver, eat grapefruit unless taking cardiac drugs|10024668.0|liver damage|[]
2|350336129817509888|48.0|50.0|ADR|AD|baclofen|"apparently, baclofen greatly exacerbates the ""ad"" part of my adhd. average length of focus today: about 30 seconds."|10003731.0|attention deficit disorder|[]
3|350336129817509888|88.0|93.0|ADR|focus|baclofen|"apparently, baclofen greatly exacerbates the ""ad"" part of my adhd. average length of focus today: about 30 seconds."|10003738.0|attention impaired|[]
4|332540699692130304|11.0|15.0|ADR|died|cipro|pt of mine died from cipro rt @ciproispoison: @gastromom if only more doctors thought like you! i lost my entire life to 12 cipro pills|10011906.0|death|['died']
5|332542581760204800|41.0|45.0|ADR|died|cipro|@gastromom the only pt of mine who ever died was one age 21 profound autism chronic underwt &amp; gi issues, given lots of cipro. terrible|10011906.0|death|[]
6|343944308828811264|66.0|79.0|ADR|tendon damage|cipro|owww. i hurt my foot. &amp; am concerned. 1st warning on cipro is tendon damage. :-/ it certainly wasn't a rupture. i'm sure i'm just paranoid.|10043242.0|tendon injury|[]
7|346700255829561344|||||cipro|@deadfanclub @danadelany i have a penicillin/ keflex allergy so my dr writes me 10 days of zpack or i'd still be sick too! sometimes cipro|||['sick']
8|348120419921952770|||||cipro|@joshuagates you forgot the immodium for when the cipro kills all the good bacteria. :) #travelskills|||[]
9|348644040444637184|26.0|32.0|ADR|dreams|Robitussin|@bilgeebiri oh robitussin dreams are notorious. although what will really turn 'em into a bunuel movie is cipro.|10004969.0|bizarre dreams|[]
10|352217412046823425|84.0|98.0|ADR|tendon rupture|cipro|#eds friends! anybody taken #cipro? (antibiotic) complications?? big side effect is tendon rupture...figured my dr would know better?|10043248.0|tendon rupture|['complications']
11|332367377612279809|||||cymbalta|@illtreaturite1 fluox a friend 4 years, but switch to cymbalta 4 anti-depress/pain control. i ocd worry. can't stop running mind|||[]
12|332368320881889280|||||cymbalta|@lanternlizard cymbalta switch is part of what made me flip. but any snri with family hx of mania puts you at risk.|||[]
13|332457841749286913|102.0|112.0|ADR|withdrawal|cymbalta|@enlightenmentor umm, are you being a smart-ass? dont mess with me right now. going through cymbalta withdrawal i think &amp; im very depressed.|10048010.0|withdrawal syndrome|[]
14|341552558369800192|13.0|27.0|ADR|emotional mess|cymbalta|today i'm an emotional mess. that's what happens when i think i could wean myself off of cymbalta.|10049119.0|emotional distress|[]
15|341555493409542144|17.0|29.0|ADR|not remember|cymbalta|losing it. could not remember the word power strip. wonder which drug is doing this memory lapse thing. my guess the cymbalta. #helps|10027176.0|memory loss|[]
16|341555493409542144|84.0|96.0|ADR|memory lapse|cymbalta|losing it. could not remember the word power strip. wonder which drug is doing this memory lapse thing. my guess the cymbalta. #helps|10027174.0|memory impaired|[]
17|341689297503662080|5.0|8.0|ADR|nap|cymbalta|that nap was on point.... cymbalta did that shit cuz i dont take naps...ever|10041349.0|somnolence|[]
18|341767297649766400|71.0|82.0|ADR|psychedelic|cymbalta|@andiedanley2626 cymbalta. 3x the dosage i was once on...everything is psychedelic and yuck. still grateful for meds!|10070679.0|feeling stoned|[]
19|354228220431843328|94.0|100.0|ADR|mashed|duloxetine|@santypas @scrabalisios i'm taking 700mg pregablin and 60 mg duloxetine hence why i'm totally mashed|10070679.0|feeling stoned|[]
20|341602254975008768|||||effexor|@autumnuh_beee i was on celexa, which made me sleepy. i switched to effexor. it has norepinephrine in it, so it jump starts me in the mornin|||['sleepy']
21|348458989924782081|||||enbrel|i feel so pill-ill again - decided to seriously cut down to just weekly enbrel and metho alongside daily nsaids #rheum.|||['ill']
22|348897919748943872|||||enbrel|rt @dratp: @lisabinkc @trainingwithra @dsymons enbrel also available as prefilled syringe, much gentler. pen leaves bruises! #rheum|||['bruises']
23|332556333704413184|66.0|77.0|ADR|space cadet|fluoxetine|note to self: do not take #fluoxetine and #aleved together. i'm a space cadet today!  #druginteractions|10041374.0|spaced out|['druginteractions']
24|341311579536650240|39.0|52.0|ADR|illness worse|fluoxetine|i'm sure this fluoxetine is making my illness worse, especially since i can't eat..|10021345.0|ill feeling|"[""can't eat""]"
25|341311579536650240|73.0|82.0|ADR|can't eat|fluoxetine|i'm sure this fluoxetine is making my illness worse, especially since i can't eat..|10003030.0|appetite suppressed|"[""can't eat""]"
26|346613977549258752|||||fluoxetine|i have some seriously disturbing dreams. thanks #fluoxetine thanks a freaking lot. well i guess it's better than being #suicidal ..only just|||['dreams', 'suicidal']
27|353079130692124672|30.0|38.0|ADR|allergic|fluoxetine|rt @ianibbo: finding out i'm allergic to fluoxetine was a bit of a shock tho. mind, only someone from yorkshire could be actually allergic �|10013661.0|drug allergy|['allergic', 'yorkshire could', 'allergic']
28|336988171973824512|127.0|138.0|ADR|withdrawals|geodon|i took 11 pills of geodon i was rushed to the hospital they had to stick a tube up my nose ugh never again i feel so bad today withdrawals.|10048010.0|withdrawal syndrome|['withdrawals']
29|340627449496887296|41.0|47.0|ADR|hungry|geodon|so the geodon is what made me so frickin hungry all the time cause i've eaten very little these past few days.|10016336.0|feeling hungry|[]
30|349250599373639681|||||geodon|will still be on the geodon, but will also be taking a low-dose alprazolam as needed for the sudden anxiety attacks ive been getting|||[]
31|342138828087234560|119.0|125.0|ADR|nerves|humira|@crohnietweets i found the humira to fix all my crohn's issues, but cause other issues. i went off it due to issues w nerves/muscle spasms|10029177.0|nerve damage|[]
32|342138828087234560|126.0|139.0|ADR|muscle spasms|humira|@crohnietweets i found the humira to fix all my crohn's issues, but cause other issues. i went off it due to issues w nerves/muscle spasms|10028334.0|muscle spasms|[]
33|342685104725966848|||||humira|@showbizmom48 mri showed lesions in my noggin :s got to have eeg to see if its ms or humira doing it.so more tests n messing about lolxx|||[]
34|344346660530434048|104.0|114.0|ADR|joint pain|humira|@thestomabaglady it was explained to me that all the anti-tnfs can bring out other issues. i had severe joint pain on humira &amp; remicaid|10023222.0|joint pain|[]
35|344942366387494912|123.0|140.0|ADR|painful reactions|humira|@renegade_snare @ibdtweet i feel your pain :(  just got 1st #fistula urgh ! humira worked for me for just 3months then got painful reactions|10033371.0|pain|['painful']
36|344942366387494912|61.0|68.0|ADR|fistula|humira|@renegade_snare @ibdtweet i feel your pain :(  just got 1st #fistula urgh ! humira worked for me for just 3months then got painful reactions|10016717.0|fistula|['painful']
37|346087419424169984|114.0|118.0|ADR|achy|humira|the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rheum|10000424.0|ache|['filled']
38|346087419424169984|99.0|106.0|ADR|fatigue|humira|the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rheum|10016256.0|fatigue|['filled']
39|346096906985938945|112.0|119.0|ADR|fatigue|humira|rt @smbell1: the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rh�|10016256.0|fatigue|['filled']
40|346096906985938945|127.0|131.0|ADR|achy|humira|rt @smbell1: the day after humira used to be a great one, full of energy, low pain. after a month, it is now a fatigue filled achy day. #rh�|10000424.0|ache|['filled']
41|350691733987799040|39.0|48.0|ADR|no immune|humira|humira + thioguanine + preds = me have no immune lol.. thankgod i on anti biotics for a bit... then preds drop off #crohns|10021425.0|immune system disorder|[]
42|351399799750279168|12.0|24.0|ADR|nerve damage|humira|anyone have nerve damage symptoms (ms like) from enbrel or humira? #rheum|10029177.0|nerve damage|[]
43|351399799750279168|35.0|42.0|ADR|MS like|humira|anyone have nerve damage symptoms (ms like) from enbrel or humira? #rheum|10028055.0|MS-like syndrome|[]
44|344127080918827008|117.0|124.0|ADR|seizure|lamictal|well. i abruptly stopped taking lamotrigine (lamictal), and that is why i am having the pain and weakness. possible seizure. oops.|10039906.0|seizure|['pain']
45|344127080918827008|89.0|93.0|ADR|pain|lamictal|well. i abruptly stopped taking lamotrigine (lamictal), and that is why i am having the pain and weakness. possible seizure. oops.|10033371.0|pain|['pain']
46|344127080918827008|98.0|106.0|ADR|weakness|lamictal|well. i abruptly stopped taking lamotrigine (lamictal), and that is why i am having the pain and weakness. possible seizure. oops.|10047862.0|weakness|['pain']
47|345607804171743233|53.0|59.0|ADR|rashes|lamictal|so while i'm letting the thoughts of lamictal/fatal rashes/tonsillectomy/spinal tap settle, i'm going to go rescue a budgie.|10062948.0|drug rash|['rashes']
48|349086151249903617|12.0|45.0|ADR|hair is... definitely falling out|lamictal|oh... oh my hair is... definitely falling out. ._. i just noticed it starting tonight. google tells me other people on lamictal have this.|10019045.0|hair loss|[]
49|330466694189428737|90.0|94.0|ADR|sick|lamotrigine|@kierarampton it's called lamotrigine, i'm pretty sure the mix of them both is making me sick. i don't think bipolar &amp; add mix very well..|10016365.0|feeling sick|['sick']
50|345333265089048577|63.0|72.0|ADR|depressed|lamotrigine|what is this weird feeling i've been having all day? i've felt depressed yet oddly happy. this is the second day of bid #lamotrigine|10012374.0|depressed mood|"[""weird feeling i've""]"
51|351285012047470592|99.0|111.0|ADR|days of hell|lamotrigine|@ouch_uk didnt know lamotrigine was addictive stopped as didnt think were helping @clusterheads 3 days of hell before realized, back on now|10016370.0|feeling unwell|['addictive']
52|351285012047470592|84.0|96.0|ADR|clusterheads|lamotrigine|@ouch_uk didnt know lamotrigine was addictive stopped as didnt think were helping @clusterheads 3 days of hell before realized, back on now|10059133.0|cluster headache|['addictive']
53|351285012047470592|37.0|46.0|ADR|addictive|lamotrigine|@ouch_uk didnt know lamotrigine was addictive stopped as didnt think were helping @clusterheads 3 days of hell before realized, back on now|10012336.0|dependence addictive|['addictive']
54|344848831646670848|38.0|46.0|ADR|allergic|levaquin|@midwesternwife i feel your pain, im allergic to penicillin, ammoxicillin, levaquin, doxycycline. it sucks|10013661.0|drug allergy|[]
55|330457675445968896|53.0|64.0|ADR|can't think|lozenge|@wee_jendo nicotine lozenges. if i go cold turkey i can't think (or see) straight, so i can't work.|10043436.0|thinking reduced|"[""can't think""]"
56|330457675445968896|69.0|82.0|ADR|see) straight|lozenge|@wee_jendo nicotine lozenges. if i go cold turkey i can't think (or see) straight, so i can't work.|10047508.0|vision abnormal|"[""can't think""]"
57|344781127493500928|||||lozenge|accidentally asphyxiating yourself trying to suck a throat lozenge when you have a stuffed nose. #that|||[]
58|351412839447146496|31.0|41.0|ADR|starvation|namenda|he said he is 'slowly dying of starvation'. i don't want to be the one to say stop taking the aricept and namenda...|10003030.0|appetite suppressed|[]
