,tweet_id,begin,end,type,extraction,drug,tweet,meddra_code,meddra_term,clean_tweets,label,ADR
0,331187619096588288,,,,,ofloxacin,@seefisch:oral drugs for pyelonephritis:ciprofloxacin levofloxacin tmp/smz do not use nitrofurantoin for pyelo(only cystitis)@david_medinaf,,,<user> : oral drugs for pyelonephritis : ciprofloxacin levofloxacin tmp / smz do not use nitrofurantoin for pyelo ( only cystitis ) <user>,0,0
1,332227554956161024,,,,,trazodone,happy for wellbutrin; has similar effects as adderall.. trazodone is super promising for sleep.. but abilify can cause weight gain -_-,,,happy for wellbutrin ; has similar effects as adderall . <repeated> trazodone is super promising for sleep . <repeated> but abilify can cause weight gain -_-,0,0
2,332448217490944000,,,,,lamotrigine,"@stilgarg i'm ok ty have an official diagnosis of bipolar now, feeling ok at the moment lamotrigine has been increased having monotherapy:/",,,"<user> i am ok ty have an official diagnosis of bipolar now , feeling ok at the moment lamotrigine has been increased having monotherapy <annoyed>",0,0
3,332977955754110976,,,,,cymbalta,i'm soo depressed cymbalta couldn't help me .,,,i am soo depressed cymbalta could not help me .,0,0
4,333674203331051520,,,,,seroquel,"time for my daily afternoon relaxation ritual of smoking weed, taking 2 mgs of clonazepam, and 400 mg of seroquel xr.",,,"time for my daily afternoon relaxation ritual of smoking weed , taking <number> mgs of clonazepam , and <number> mg of seroquel xr .",0,0
5,333948685811589120,,,,,levaquin,questionable x-ray result.  nothing a little levaquin won't help.  oh yeah and the cough meds with codeine.,,,questionable x - ray result . nothing a little levaquin will not help . oh yeah and the cough meds with codeine .,0,0
6,339780292304830464,,,,,nicotine,does nicotine gum actually help with quitting smoking..?,,,does nicotine gum actually help with quitting smoking ? . <repeated>,0,0
7,339789866739048448,,,,,norfloxacin,"third night of diarrhea and first dose of norfloxacin, gosh.. gonna die of dehydration",,,"third night of diarrhea and first dose of norfloxacin , gosh . <repeated> gonna die of dehydration",0,0
8,339888459072303104,,,,,effexor,prescribed wellbutrin and got an okay to get off effexor as fast as possible. to be on the look out for symptoms of mania.. in case #bipolar,,,prescribed wellbutrin and got an okay to get off effexor as fast as possible . to be on the look out for symptoms of mania . <repeated> in case <hashtag> bipolar </hashtag>,0,0
9,339898418682019840,,,,,nicotine,nicotine is so stress relieving.,,,nicotine is so stress relieving .,0,0
10,340314658189766656,,,,,prozac,104.) this is a pic of me during my depression... spikey dread curls... heavy metal... prozac. bass guitar http://t.co/dompmwdvbt,,,<number> . ) this is a pic of me during my depression . <repeated> spikey dread curls . <repeated> heavy metal . <repeated> prozac . bass guitar <url>,0,0
11,340331832467922944,,,,,nicotine,"gotta thank the lord for the weed and the nicotine, i can't sleep close my eyes and see wicked things",,,"gotta thank the lord for the weed and the nicotine , i can not sleep close my eyes and see wicked things",0,0
12,340336517597782016,,,,,seroquel,"if you can't sleep in a high stress job, the latest best thing, under the care of a qualified physician, is low dose quetiapine (seroquel).",,,"if you can not sleep in a high stress job , the latest best thing , under the care of a qualified physician , is low dose quetiapine ( seroquel ) .",0,0
